DrugBankID,TargetGene,Action,Relation
DB00001,F2,inhibitor,inhibits
DB00002,EGFR,binder,other
DB00002,FCGR3B,binder,other
DB00002,C1QA,binder,other
DB00002,C1QB,binder,other
DB00002,C1QC,binder,other
DB00002,FCGR3A,binder,other
DB00002,FCGR1A,binder,other
DB00002,FCGR2A,binder,other
DB00003,DNASE1,other,other
DB00004,IL2RA,ligand,other
DB00004,IL2RB,ligand,other
DB00005,TNF,inhibitor,inhibits
DB00005,LTA,antibody,other
DB00005,FCGR1A,ligand,other
DB00005,FCGR2A,ligand,other
DB00005,FCGR2B,ligand,other
DB00005,FCGR2C,ligand,other
DB00005,FCGR3A,ligand,other
DB00005,FCGR3B,ligand,other
DB00005,C1QA,ligand,other
DB00006,F2,inhibitor,inhibits
DB00007,GNRHR,agonist,activates
DB00007,GNRH1,activator,activates
DB00008,IFNAR2,agonist,activates
DB00008,IFNAR1,agonist,activates
DB00009,PLG,activator,activates
DB00009,FGA,binder,other
DB00009,FGG,binder,other
DB00009,SERPINE1,nan,other
DB00010,GHRHR,agonist,activates
DB00011,IFNAR1,agonist,activates
DB00011,IFNAR2,agonist,activates
DB00012,EPOR,agonist,activates
DB00013,PLG,activator,activates
DB00013,PLAUR,inducer,activates
DB00013,SERPINE1,substrate,other
DB00013,SERPINB2,substrate,other
DB00013,SERPINA5,substrate,other
DB00013,LRP2,substrate,other
DB00013,ST14,substrate,other
DB00013,NID1,ligand,other
DB00014,LHCGR,agonist,activates
DB00014,GNRH1,activator,activates
DB00014,GNRHR,agonist,activates
DB00015,PLG,activator,activates
DB00015,FGA,nan,other
DB00015,SERPINE1,nan,other
DB00016,EPOR,agonist,activates
DB00017,CALCR,agonist,activates
DB00018,IFNAR1,agonist,activates
DB00018,IFNAR2,agonist,activates
DB00019,CSF3R,agonist,activates
DB00020,CSF2RA,agonist,activates
DB00020,IL3RA,agonist,activates
DB00020,CSF2RB,agonist,activates
DB00020,SDC2,agonist,activates
DB00020,PRG2,nan,other
DB00022,IFNAR1,agonist,activates
DB00022,IFNAR2,agonist,activates
DB00024,TSHR,agonist,activates
DB00025,F10,activator,activates
DB00025,F9,cofactor,other
DB00025,VWF,binder,other
DB00025,PHYH,antagonist,inhibits
DB00025,ASGR2,binder,other
DB00025,HSPA5,chaperone,other
DB00025,CALR,chaperone,other
DB00025,CANX,chaperone,other
DB00025,LMAN1,chaperone,other
DB00025,LRP1,modulator,other
DB00025,MCFD2,modulator,other
DB00026,IL1R1,antagonist,inhibits
DB00028,FCGR1A,antagonist,inhibits
DB00028,FCGR1BP,antagonist,inhibits
DB00028,FCGR2A,antagonist,inhibits
DB00028,FCGR2B,antagonist,inhibits
DB00028,FCGR2C,antagonist,inhibits
DB00028,FCGR3A,antagonist,inhibits
DB00028,FCGR3B,antagonist,inhibits
DB00028,C3,binder,other
DB00028,C4A,binder,other
DB00028,C4B,binder,other
DB00028,C5,binder,other
DB00029,PLG,activator,activates
DB00029,FGA,nan,other
DB00029,SERPINE1,nan,other
DB00030,INSR,agonist,activates
DB00030,IGF1R,activator,activates
DB00030,CPE,modulator,other
DB00030,CCN3,downregulator,inhibits
DB00030,LRP2,substrate,other
DB00030,IGFBP7,inhibitor,inhibits
DB00031,PLG,activator,activates
DB00032,FSHR,binder,other
DB00032,LHCGR,nan,other
DB00033,IFNGR1,binder,other
DB00033,IFNGR2,binder,other
DB00034,IFNAR1,nan,other
DB00034,IFNAR2,nan,other
DB00035,OXTR,agonist,activates
DB00035,AVPR2,agonist,activates
DB00035,AVPR1A,agonist,activates
DB00035,AVPR1B,agonist,activates
DB00036,F10,activator,activates
DB00036,F3,binder,other
DB00038,IL11RA,agonist,activates
DB00039,FGFR2,agonist,activates
DB00039,FGFR1,agonist,activates
DB00039,HSPG2,ligand,other
DB00040,GCGR,agonist,activates
DB00040,GLP2R,agonist,activates
DB00040,GLP1R,agonist,activates
DB00041,IL2RB,agonist,activates
DB00041,IL2RA,agonist,activates
DB00041,IL2RG,agonist,activates
DB00042,VAMP2,binder,other
DB00042,VAMP1,binder,other
DB00042,SYT2,inhibitor,inhibits
DB00043,IGHE,antibody,other
DB00044,LHCGR,agonist,activates
DB00045,TLR2,other/unknown,other
DB00046,INSR,agonist,activates
DB00046,IGF1R,activator,activates
DB00047,INSR,agonist,activates
DB00047,IGF1R,activator,activates
DB00048,COL1A1,binder,other
DB00048,COL2A1,binder,other
DB00048,COL3A1,binder,other
DB00050,GNRHR,antagonist,inhibits
DB00050,LHCGR,nan,other
DB00051,TNF,inhibitor,inhibits
DB00052,GHR,ligand,other
DB00052,PRLR,ligand,other
DB00054,ITGB3,antagonist,inhibits
DB00054,ITGA2B,antagonist,inhibits
DB00054,FCGR2A,nan,other
DB00054,FCGR2B,nan,other
DB00054,VTN,nan,other
DB00055,F8,inhibitor,inhibits
DB00055,F5,inhibitor,inhibits
DB00055,SERPINE1,nan,other
DB00055,THBD,nan,other
DB00055,PROS1,nan,other
DB00055,F2,nan,other
DB00055,PF4,nan,other
DB00055,SERPINA5,nan,other
DB00055,SERPINB6,nan,other
DB00055,PROCR,nan,other
DB00056,CD33,antibody,other
DB00056,FCGR3B,nan,other
DB00056,FCGR3A,nan,other
DB00056,FCGR1A,nan,other
DB00058,ELANE,inhibitor,inhibits
DB00060,IFNAR1,agonist,activates
DB00060,IFNAR2,agonist,activates
DB00061,GRB2,binder,other
DB00063,ITGB3,modulator,other
DB00063,ITGA2B,modulator,other
DB00063,CACNA1B,antagonist,inhibits
DB00065,TNF,inhibitor,inhibits
DB00066,FSHR,agonist,activates
DB00067,AVPR2,agonist,activates
DB00067,AVPR1A,agonist,activates
DB00067,AVPR1B,agonist,activates
DB00067,OXTR,agonist,activates
DB00068,IFNAR1,agonist,activates
DB00068,IFNAR2,agonist,activates
DB00069,IFNAR1,binder,other
DB00069,IFNAR2,binder,other
DB00070,TGFB1,inhibitor,inhibits
DB00071,INSR,binder,other
DB00071,IGF1R,nan,other
DB00072,ERBB2,binder,other
DB00073,MS4A1,antibody,other
DB00074,IL2RA,antibody,other
DB00074,IL2RB,antibody,other
DB00075,CD3D,nan,other
DB00075,CD3E,binder,other
DB00075,CD3G,nan,other
DB00075,CD247,nan,other
DB00075,FCGR3B,nan,other
DB00078,MS4A1,antibody,other
DB00081,MS4A1,antibody,other
DB00081,FCGR2B,nan,other
DB00082,GHR,antagonist,inhibits
DB00083,SNAP25,inhibitor,inhibits
DB00083,RHOB,inhibitor,inhibits
DB00086,PLG,activator,activates
DB00086,F2R,activator,activates
DB00087,CD52,antibody,other
DB00087,FCGR3B,binder,other
DB00087,FCGR3A,binder,other
DB00087,FCGR1A,binder,other
DB00087,FCGR2A,binder,other
DB00087,FCGR2B,binder,other
DB00087,FCGR2C,binder,other
DB00089,FOLH1,other/unknown,other
DB00091,CAMLG,binder,other
DB00091,PPP3CA,inhibitor,inhibits
DB00091,PPP3R2,inhibitor,inhibits
DB00091,PPIA,inhibitor,inhibits
DB00091,PPIF,binder,other
DB00092,CD2,inhibitor,inhibits
DB00092,FCGR3A,nan,other
DB00092,FCGR3B,nan,other
DB00093,AVPR1A,agonist,activates
DB00094,FSHR,agonist,activates
DB00095,ITGAX,antibody,other
DB00095,ITGAL,antibody,other
DB00097,FSHR,binder,other
DB00097,LHCGR,agonist,activates
DB00098,MR1,antagonist,inhibits
DB00098,ITGAL,inducer,activates
DB00098,CD86,binder,other
DB00098,FCGR2B,inducer,activates
DB00098,CD4,inducer,activates
DB00098,ITGB1,inducer,activates
DB00098,ITGAV,inducer,activates
DB00098,ITGB3,inducer,activates
DB00098,CD1A,inhibitor,inhibits
DB00099,CSF3R,stimulator,activates
DB00100,F10,activator,activates
DB00100,F11,ligand,other
DB00100,F7,ligand,other
DB00100,F8,cofactor,other
DB00100,F2,nan,other
DB00100,LRP1,nan,other
DB00100,GGCX,nan,other
DB00102,PDGFRB,inhibitor,inhibits
DB00102,PDGFRA,nan,other
DB00102,A2M,nan,other
DB00104,SSTR2,binder,other
DB00105,IFNAR2,binder,other
DB00105,IFNA2,modulator,other
DB00105,IFNAR1,binder,other
DB00106,GNRHR,antagonist,inhibits
DB00107,OXTR,agonist,activates
DB00107,AVPR1B,agonist,activates
DB00107,AVPR2,agonist,activates
DB00107,AVPR1A,agonist,activates
DB00108,ITGA4,antibody,other
DB00108,FCGR3B,ligand,other
DB00108,FCGR1A,ligand,other
DB00108,ICAM1,ligand,other
DB00110,FCGR3B,nan,other
DB00110,C1R,nan,other
DB00110,C1QA,nan,other
DB00110,C1QB,nan,other
DB00110,C1QC,nan,other
DB00110,FCGR3A,nan,other
DB00110,FCGR1A,nan,other
DB00110,FCGR2B,nan,other
DB00111,IL2RA,antibody,other
DB00111,IL2RB,antibody,other
DB00111,FCGR3B,nan,other
DB00111,C1R,nan,other
DB00111,C1QA,nan,other
DB00111,C1QB,nan,other
DB00111,C1QC,nan,other
DB00111,FCGR3A,nan,other
DB00111,FCGR1A,nan,other
DB00111,FCGR2A,nan,other
DB00111,FCGR2B,nan,other
DB00111,FCGR2C,nan,other
DB00112,VEGFA,inhibitor,inhibits
DB00112,C1QA,nan,other
DB00112,C1QB,nan,other
DB00112,C1QC,nan,other
DB00112,FCGR3A,nan,other
DB00112,FCGR1A,nan,other
DB00112,FCGR2A,nan,other
DB00112,FCGR2B,nan,other
DB00112,FCGR2C,nan,other
DB00113,CEACAM1,other/unknown,other
DB00114,ABAT,inhibitor,inhibits
DB00114,F2,inhibitor,inhibits
DB00114,AGXT2,cofactor,other
DB00114,GAD1,cofactor,other
DB00114,CBS,cofactor,other
DB00114,KYNU,cofactor,other
DB00114,SHMT1,cofactor,other
DB00114,NFS1,cofactor,other
DB00114,GOT1,activator,activates
DB00114,OAT,cofactor,other
DB00114,ODC1,cofactor,other
DB00114,AADAT,cofactor,other
DB00114,PNPO,cofactor,other
DB00114,SGPL1,cofactor,other
DB00114,TAT,cofactor,other
DB00114,KYAT1,cofactor,other
DB00114,PYGL,cofactor,other
DB00114,SPTLC2,cofactor,other
DB00114,CSAD,cofactor,other
DB00114,HDC,cofactor,other
DB00114,AZIN2,cofactor,other
DB00114,SDS,cofactor,other
DB00114,GCAT,cofactor,other
DB00114,GLDC,cofactor,other
DB00114,GPT,cofactor,other
DB00114,PSAT1,cofactor,other
DB00114,ALAS1,cofactor,other
DB00114,AGXT,cofactor,other
DB00114,PDXP,cofactor,other
DB00114,SPTLC1,cofactor,other
DB00114,CTH,cofactor,other
DB00114,BCAT1,cofactor,other
DB00114,BCAT2,cofactor,other
DB00114,PLPBP,binder,other
DB00114,GOT2,cofactor,other
DB00114,PYGB,cofactor,other
DB00114,PYGM,cofactor,other
DB00114,DDC,cofactor,other
DB00114,nan,cofactor,other
DB00114,GAD2,cofactor,other
DB00114,KYAT3,cofactor,other
DB00114,GADL1,cofactor,other
DB00114,SCLY,cofactor,other
DB00114,IGSF10,cofactor,other
DB00114,PHYKPL,cofactor,other
DB00114,SHMT2,cofactor,other
DB00114,ALAS2,cofactor,other
DB00114,GPT2,cofactor,other
DB00114,MOCOS,cofactor,other
DB00114,SDSL,cofactor,other
DB00114,SRR,cofactor,other
DB00114,SEPSECS,cofactor,other
DB00114,SPTLC3,cofactor,other
DB00114,GAD65,cofactor,other
DB00114,GOT1,cofactor,other
DB00115,MTR,cofactor,other
DB00115,MMUT,cofactor,other
DB00115,MTRR,cofactor,other
DB00115,MMAA,binder,other
DB00115,MMACHC,cofactor,other
DB00115,MTHFR,cofactor,other
DB00116,MTHFD1,cofactor,other
DB00116,MTHFD2,cofactor,other
DB00116,AMT,cofactor,other
DB00116,ALDH1L1,cofactor,other
DB00116,MTR,cofactor,other
DB00116,FTCD,cofactor,other
DB00116,ATIC,cofactor,other
DB00116,SHMT1,cofactor,other
DB00116,SHMT2,cofactor,other
DB00116,MTHFR,cofactor,other
DB00116,nan,cofactor,other
DB00116,MTFMT,cofactor,other
DB00117,HDC,nan,other
DB00117,HARS1,nan,other
DB00117,SLC38A3,nan,other
DB00117,HAL,nan,other
DB00118,COMT,cofactor,other
DB00118,CMTR1,nan,other
DB00118,AS3MT,nan,other
DB00118,GNMT,cofactor,other
DB00118,AMD1,cofactor,other
DB00118,MAT2A,cofactor,other
DB00118,CBS,activator,activates
DB00118,MAT1A,cofactor,other
DB00119,CA4,inhibitor,inhibits
DB00119,ABAT,inhibitor,inhibits
DB00119,SLC16A3,nan,other
DB00119,SLC16A2,nan,other
DB00119,AGXT2,nan,other
DB00119,SLC16A5,nan,other
DB00119,PKLR,nan,other
DB00119,SLC16A6,nan,other
DB00119,SLC16A7,nan,other
DB00119,PDHB,nan,other
DB00119,PKM,nan,other
DB00119,SLC16A4,nan,other
DB00119,SLC16A8,nan,other
DB00119,SLC16A1,nan,other
DB00119,PC,nan,other
DB00120,TH,binder,other
DB00120,TAT,nan,other
DB00120,SLC7A8,nan,other
DB00120,FARSA,nan,other
DB00120,PAH,nan,other
DB00120,FARS2,nan,other
DB00120,FARSB,nan,other
DB00121,PCCB,cofactor,other
DB00121,HLCS,substrate,other
DB00121,MCCC2,cofactor,other
DB00121,ACACB,cofactor,other
DB00121,MCCC1,cofactor,other
DB00121,PC,cofactor,other
DB00121,PCCA,cofactor,other
DB00121,ACACA,cofactor,other
DB00122,CHRNA2,inhibitor,inhibits
DB00122,CHRNA7,nan,other
DB00122,PCYT1B,product of,other
DB00122,ACHE,product of,other
DB00122,PCYT1A,product of,other
DB00122,PLD2,product of,other
DB00122,BCHE,product of,other
DB00122,PLD1,product of,other
DB00122,PHOSPHO1,product of,other
DB00123,SLC7A1,nan,other
DB00123,SLC7A4,nan,other
DB00123,SLC7A3,nan,other
DB00123,SLC7A2,nan,other
DB00123,KARS1,nan,other
DB00125,SLC7A3,nan,other
DB00125,AZIN2,nan,other
DB00125,ASL,nan,other
DB00125,NOS2,nan,other
DB00125,SLC7A1,nan,other
DB00125,ARG2,nan,other
DB00125,SLC7A4,nan,other
DB00125,ASS1,nan,other
DB00125,NOS3,nan,other
DB00126,SLC23A2,modulator,other
DB00126,SLC23A1,modulator,other
DB00126,PLOD2,cofactor,other
DB00126,PHYH,cofactor,other
DB00126,PLOD3,cofactor,other
DB00126,BBOX1,cofactor,other
DB00126,DBH,cofactor,other
DB00126,PAM,cofactor,other
DB00126,P3H1,cofactor,other
DB00126,P3H2,cofactor,other
DB00126,P3H3,cofactor,other
DB00126,P4HA1,cofactor,other
DB00126,OGFOD1,cofactor,other
DB00126,OGFOD2,cofactor,other
DB00126,ALKBH2,activator,activates
DB00126,ALKBH3,activator,activates
DB00126,KDM5D,cofactor,other
DB00126,PLOD1,cofactor,other
DB00126,TMLHE,cofactor,other
DB00126,P4HTM,cofactor,other
DB00126,EGLN1,cofactor,other
DB00126,EGLN2,cofactor,other
DB00126,EGLN3,cofactor,other
DB00127,SMS,ligand,other
DB00127,CA4,inhibitor,inhibits
DB00127,GRIN1,inhibitor,inhibits
DB00127,CA9,inhibitor,inhibits
DB00127,CA6,inhibitor,inhibits
DB00127,CA14,inhibitor,inhibits
DB00127,GRIN2A,inhibitor,inhibits
DB00127,SMOX,ligand,other
DB00127,ODC1,product of,other
DB00127,CASR,nan,other
DB00127,ADRB1,nan,other
DB00127,ADRB2,nan,other
DB00128,GRIN2A,agonist,activates
DB00128,GRIN2B,agonist,activates
DB00128,GRIN1,agonist,activates
DB00128,ADSS1,substrate,other
DB00128,SLC25A13,nan,other
DB00128,GOT1,nan,other
DB00128,ASPA,nan,other
DB00128,ASNS,substrate,other
DB00128,ASS1,nan,other
DB00128,ACY1,nan,other
DB00128,GOT2,nan,other
DB00128,DARS1,nan,other
DB00128,SLC25A12,nan,other
DB00128,ASPH,nan,other
DB00128,PAICS,substrate,other
DB00128,ADSS2,nan,other
DB00128,SLC1A1,nan,other
DB00128,DARS2,nan,other
DB00128,ASRGL1,nan,other
DB00128,RNASE1,nan,other
DB00128,LYZ,nan,other
DB00129,OAT,nan,other
DB00129,OTC,nan,other
DB00129,ARG1,nan,other
DB00129,OAZ1,nan,other
DB00129,SLC7A1,nan,other
DB00129,SLC7A2,nan,other
DB00129,SLC25A2,nan,other
DB00129,ARG2,nan,other
DB00129,SLC25A15,nan,other
DB00129,GATM,nan,other
DB00130,CTPS1,antagonist,inhibits
DB00130,PPAT,substrate,other
DB00130,GLUL,product of,other
DB00131,PRKAA1,activator,activates
DB00131,ADK,product of,other
DB00131,PRKAB1,activator,activates
DB00131,ACSS2,product of,other
DB00131,ADCY1,product of,other
DB00131,ACSL1,product of,other
DB00131,CREB1,activator,activates
DB00131,PDE4B,product of,other
DB00131,PYGL,activator,activates
DB00131,HINT1,product of,other
DB00131,PDE4D,product of,other
DB00131,FBP1,antagonist,inhibits
DB00132,FFAR1,agonist,activates
DB00132,PTGS2,inhibitor,inhibits
DB00132,FADS1,ligand,other
DB00132,FADS2,ligand,other
DB00132,TRPV1,inhibitor,inhibits
DB00132,PPARA,nan,other
DB00132,NR1H4,agonist,activates
DB00132,PPARD,nan,other
DB00132,PPARG,nan,other
DB00132,RXRA,nan,other
DB00132,ELOVL2,substrate,other
DB00132,ELOVL5,substrate,other
DB00132,SLC8A1,nan,other
DB00133,CBS,nan,other
DB00133,SDS,nan,other
DB00133,SRR,nan,other
DB00133,SPTLC2,nan,other
DB00133,SPTLC1,nan,other
DB00133,SARS1,nan,other
DB00133,AGXT,nan,other
DB00134,MTRR,product of,other
DB00134,MTR,product of,other
DB00134,METAP2,product of,other
DB00134,BHMT,product of,other
DB00134,BHMT2,product of,other
DB00135,TH,binder,other
DB00135,YARS2,nan,other
DB00135,YARS1,nan,other
DB00135,TAT,nan,other
DB00136,VDR,agonist,activates
DB00136,HOXA10,nan,other
DB00138,SLC7A11,nan,other
DB00138,CTNS,nan,other
DB00139,ALDH5A1,inhibitor,inhibits
DB00139,SUCNR1,nan,other
DB00140,RFK,ligand,other
DB00140,BLVRB,product of,other
DB00141,B4GALT1,nan,other
DB00141,B4GALT4,nan,other
DB00141,NAGK,nan,other
DB00141,NAGPA,nan,other
DB00141,NAGLU,activator,activates
DB00141,RENBP,nan,other
DB00142,GRM1,nan,other
DB00142,GRM4,nan,other
DB00142,GRIK4,nan,other
DB00142,GRIK5,nan,other
DB00142,GRM7,nan,other
DB00142,GRM8,nan,other
DB00142,SLC1A7,nan,other
DB00142,OPLAH,nan,other
DB00142,PFAS,nan,other
DB00142,BCAT2,nan,other
DB00142,GRIN2D,nan,other
DB00142,GLS,nan,other
DB00142,GOT2,nan,other
DB00142,EPRS1,nan,other
DB00142,ASNS,nan,other
DB00142,GLUL,nan,other
DB00142,GOT1,nan,other
DB00142,TAT,nan,other
DB00142,GPT,nan,other
DB00142,GGCX,nan,other
DB00142,SLC1A3,nan,other
DB00142,SLC1A2,nan,other
DB00142,SLC1A1,nan,other
DB00142,GCLC,substrate,other
DB00142,SLC1A6,nan,other
DB00142,GLUD2,substrate,other
DB00142,GMPS,nan,other
DB00142,BCAT1,nan,other
DB00142,ABAT,nan,other
DB00142,GRIN1,nan,other
DB00142,FPGS,nan,other
DB00142,ENPEP,nan,other
DB00142,GRIN2A,nan,other
DB00142,GRIN2B,nan,other
DB00142,GRIN2C,nan,other
DB00142,EARS2,nan,other
DB00142,NADSYN1,product of,other
DB00142,NAGS,nan,other
DB00142,AADAT,nan,other
DB00142,GRIN3A,nan,other
DB00142,GPT2,substrate,other
DB00142,AASS,nan,other
DB00142,GLS2,nan,other
DB00142,DNPEP,nan,other
DB00142,SLC7A11,nan,other
DB00142,CPQ,nan,other
DB00142,PSAT1,nan,other
DB00142,GLUD1,nan,other
DB00142,GRIK1,nan,other
DB00142,GRIA1,nan,other
DB00142,GCLM,nan,other
DB00142,FOLH1,nan,other
DB00142,GAD2,nan,other
DB00142,GAD1,nan,other
DB00142,FTCD,nan,other
DB00142,GRIA2,nan,other
DB00142,GRIA3,nan,other
DB00142,GRIA4,nan,other
DB00142,ALDH18A1,nan,other
DB00142,GRIK2,nan,other
DB00142,GRIK3,nan,other
DB00142,GOT1,substrate,other
DB00143,AKR1B1,nan,other
DB00143,MMP9,nan,other
DB00143,CYP3A4,nan,other
DB00143,GSR,nan,other
DB00143,GSS,nan,other
DB00143,GSTM1,nan,other
DB00143,GSTK1,nan,other
DB00143,GSTA3,nan,other
DB00143,GSTM3,nan,other
DB00143,GSTA4,nan,other
DB00143,GSTM4,nan,other
DB00143,GSTA5,nan,other
DB00143,GSTP1,nan,other
DB00143,GSTO1,nan,other
DB00143,GPX1,cofactor,other
DB00143,GPX2,cofactor,other
DB00143,GSTT1,nan,other
DB00143,GSTZ1,nan,other
DB00143,GPX5,cofactor,other
DB00143,GPX3,cofactor,other
DB00143,GLO1,nan,other
DB00143,LTC4S,nan,other
DB00143,MGST3,nan,other
DB00143,HPGDS,nan,other
DB00143,GSTA1,nan,other
DB00143,GSTA2,nan,other
DB00143,MGST1,nan,other
DB00143,ESD,nan,other
DB00143,GGT1,nan,other
DB00143,GSTM2,nan,other
DB00143,GLRX,nan,other
DB00143,GPX4,cofactor,other
DB00143,GSTM5,nan,other
DB00143,GPX6,cofactor,other
DB00143,HAGH,nan,other
DB00143,GPX1,nan,other
DB00143,GPX7,cofactor,other
DB00143,MGST2,nan,other
DB00143,GSTO2,nan,other
DB00143,GLRX2,nan,other
DB00144,PISD,nan,other
DB00144,SCARB1,nan,other
DB00144,PRKCA,nan,other
DB00144,PTDSS1,nan,other
DB00144,DGKG,nan,other
DB00144,DGKD,nan,other
DB00144,PTDSS2,nan,other
DB00144,SMPD4,nan,other
DB00144,SMPD3,nan,other
DB00144,ATP8A1,nan,other
DB00145,GRIN2A,antagonist,inhibits
DB00145,GCAT,substrate,other
DB00145,ALAS1,substrate,other
DB00145,ALAS2,substrate,other
DB00145,GARS1,substrate,other
DB00145,BAAT,substrate,other
DB00145,GPR18,substrate,other
DB00145,GSS,substrate,other
DB00145,GRIN2C,agonist,activates
DB00145,nan,product of,other
DB00145,GLYAT,substrate,other
DB00145,SHMT2,product of,other
DB00145,GLYATL2,substrate,other
DB00145,GLYATL1,substrate,other
DB00145,AGXT2,product of,other
DB00145,PIPOX,product of,other
DB00145,GRIN3B,substrate,other
DB00145,GLRA1,ligand,other
DB00145,AGXT,substrate,other
DB00145,GLRB,ligand,other
DB00145,SHMT1,product of,other
DB00145,GLRA3,ligand,other
DB00145,GLRA2,ligand,other
DB00145,GNMT,substrate,other
DB00145,GATM,substrate,other
DB00146,VDR,agonist,activates
DB00147,PDXK,nan,other
DB00148,CKM,ligand,other
DB00148,CKMT1A,ligand,other
DB00148,CKB,ligand,other
DB00148,CKMT2,ligand,other
DB00148,SLC6A8,nan,other
DB00148,GAMT,product of,other
DB00149,LARS2,nan,other
DB00149,LCMT2,nan,other
DB00149,LCMT1,nan,other
DB00149,LARS1,nan,other
DB00149,BCAT2,nan,other
DB00149,BCAT1,nan,other
DB00150,IDO1,binder,other
DB00150,WARS1,inhibitor,inhibits
DB00150,WARS2,inhibitor,inhibits
DB00151,GCLM,nan,other
DB00151,GCLC,nan,other
DB00151,GOT1,substrate,other
DB00151,GOT2,substrate,other
DB00151,CTH,nan,other
DB00151,CBS,nan,other
DB00151,CARS1,substrate,other
DB00151,MGMT,nan,other
DB00151,GSS,nan,other
DB00151,CARS2,substrate,other
DB00151,CSAD,nan,other
DB00151,NFS1,nan,other
DB00151,CDO1,nan,other
DB00152,TPK1,substrate,other
DB00153,VDR,agonist,activates
DB00153,CACNG1,inducer,activates
DB00154,PTGS2,nan,other
DB00154,PTGS1,inhibitor,inhibits
DB00155,NOS3,nan,other
DB00155,ASS1,nan,other
DB00155,DDAH2,nan,other
DB00155,DDAH1,nan,other
DB00155,OTC,nan,other
DB00155,NOS1,nan,other
DB00155,NOS2,nan,other
DB00155,PADI4,nan,other
DB00155,PADI6,product of,other
DB00155,PADI1,nan,other
DB00155,PADI3,nan,other
DB00155,PADI2,nan,other
DB00156,TARS1,nan,other
DB00156,TARS2,nan,other
DB00157,MT-ND3,binder,other
DB00157,UGDH,nan,other
DB00157,ADH1A,nan,other
DB00157,SORD,nan,other
DB00157,ADH4,nan,other
DB00157,ADH1C,nan,other
DB00157,ADH1B,nan,other
DB00157,ADH7,nan,other
DB00157,GPD1,nan,other
DB00157,LDHAL6A,nan,other
DB00157,ADH5,nan,other
DB00157,AKR1B1,nan,other
DB00157,HSD17B10,nan,other
DB00157,MDH2,nan,other
DB00157,LDHA,nan,other
DB00157,ME2,nan,other
DB00157,HSD17B4,nan,other
DB00157,LDHAL6B,nan,other
DB00157,LDHC,nan,other
DB00157,LDHB,nan,other
DB00157,EHHADH,nan,other
DB00157,HADH,nan,other
DB00157,ME3,nan,other
DB00157,BDH1,nan,other
DB00157,MDH1,nan,other
DB00157,HIBADH,nan,other
DB00157,HSD17B3,nan,other
DB00157,HMGCR,nan,other
DB00157,ME1,nan,other
DB00157,PHGDH,nan,other
DB00157,HSD17B7,nan,other
DB00157,IDH3G,nan,other
DB00157,IDH3B,nan,other
DB00157,IDH3A,nan,other
DB00157,HSD17B1,nan,other
DB00157,HSD17B2,nan,other
DB00157,RDH5,nan,other
DB00157,H6PD,nan,other
DB00157,HSD17B8,nan,other
DB00157,AKR1C4,nan,other
DB00157,IMPDH2,nan,other
DB00157,AKR1C3,nan,other
DB00157,HPGD,nan,other
DB00157,GFUS,nan,other
DB00157,AKR1C1,nan,other
DB00157,HSD11B1,nan,other
DB00157,HSD3B2,nan,other
DB00157,HSD3B1,nan,other
DB00157,IMPDH1,nan,other
DB00157,HADHA,nan,other
DB00157,ALDH2,nan,other
DB00157,HSD11B2,nan,other
DB00157,AKR1C2,nan,other
DB00157,NSDHL,nan,other
DB00157,ALDH3B2,nan,other
DB00157,ALDH6A1,nan,other
DB00157,ALDH3A1,nan,other
DB00157,ALDH1A1,nan,other
DB00157,GAPDHS,nan,other
DB00157,ALDH9A1,nan,other
DB00157,ALDH1A3,nan,other
DB00157,ALDH1B1,nan,other
DB00157,ALDH3B1,nan,other
DB00157,GAPDH,nan,other
DB00157,ALDH1A2,nan,other
DB00157,ALDH3A2,nan,other
DB00157,ALDH5A1,nan,other
DB00157,ALDH7A1,nan,other
DB00157,BLVRB,nan,other
DB00157,PYCR2,nan,other
DB00157,PYCR1,nan,other
DB00157,GLUD1,nan,other
DB00157,PDHB,nan,other
DB00157,PDHA2,nan,other
DB00157,PDHA1,nan,other
DB00157,BLVRA,nan,other
DB00157,ACADS,nan,other
DB00157,DHFR,nan,other
DB00157,OGDH,nan,other
DB00157,GLUD2,nan,other
DB00157,DHCR7,nan,other
DB00157,NQO2,nan,other
DB00157,MT-ND2,binder,other
DB00157,AASS,nan,other
DB00157,NDUFS7,nan,other
DB00157,MTHFD1,nan,other
DB00157,MTHFD2,nan,other
DB00157,ALDH4A1,nan,other
DB00157,CYB5R3,nan,other
DB00157,NDUFA11,nan,other
DB00157,MT-ND4,nan,other
DB00157,QDPR,nan,other
DB00157,MT-ND1,binder,other
DB00157,NNT,nan,other
DB00157,NDUFA5,nan,other
DB00157,NDUFA9,nan,other
DB00157,MT-ND4L,nan,other
DB00157,NDUFA10,nan,other
DB00157,NDUFA7,nan,other
DB00157,NDUFA1,nan,other
DB00157,MT-ND6,nan,other
DB00157,MT-ND5,nan,other
DB00157,NDUFA4,nan,other
DB00157,NDUFA6,nan,other
DB00157,NDUFAB1,nan,other
DB00157,NDUFA2,nan,other
DB00157,NDUFA8,nan,other
DB00157,NDUFA3,nan,other
DB00157,NDUFB8,nan,other
DB00157,NDUFC2,nan,other
DB00157,NDUFB1,nan,other
DB00157,NDUFS1,nan,other
DB00157,NDUFB10,nan,other
DB00157,NDUFB4,nan,other
DB00157,NDUFB3,nan,other
DB00157,NDUFB2,nan,other
